List of good models I found in #free-models ,,,,,Sheet last updated: 9/29/2021,,12/8/2022
"Sorted by category, ID, and creator.",,,Very high-quality/flawless models are indicated by the star. ✰,,"Maintained by pizza, if you want something added lmk",,
,,,,,,,
CATEGORY,ID#,CREATOR,DESC.,,,,
Basic,934724788,TrademarkedRobloxian,Spinner using body angular velocity,,,,
Basic,148897231,MarioTheDuck123,Part with hint text,,,,
Basic,685196745,Kadecz,Physics-based pusher ✰,,,,
Basic,214928700,Kadecz,Phantom brick (sfoth),,,,
Basic,673122153,DunlopBR,'Beveled' brick ✰,,,,
Basic,403147301,dat1nubiy,One way teleporter + Fading lava,,,,
Basic,755338905,Syfriea,Spleef block (slowly disappears when collided with),,,,
Basic,717677845,namisaska,"""cartoon"" part with a black outline ✰",,,,
Basic,924514938,bamo999,Team-specific teleporter,,,,
Basic,775784661,MilesEdgelord,Resizable part with mesh that automatically scales ✰,,,,
Basic,269810470,DeveloperPixels,Swimmable water,,,,
Basic,758129796,ExecutiveKrab,Simple badge door (with customization options) ✰,,,,
Basic,658360654,aadenboy,Animated conveyor belt (functional),,,,
Basic,858120652,Panquero11,Hat door (opens when you wear a specified hat),,,,
Basic,923913751,BlockingExploiter,Ultra functionable door,,,,
Basic,803390586,EnderManPaz,"Set of ""fake neon"" for games not in mid 2015",,,,
Basic,674906963,BlockingExploiter,Classic catapult,,,,
Basic,948848627,KyndaKold,Bounce pad,,,,
Basic,189347431,Rendurse,Sphere generator in a scaleable zone,,,,
Basic,972251882,NicePotato,"Improved tool giver - Put any tool inside the script and it will take it as the giving tool
It will automatically put it in lighting so it doesn't interfere with workspace",,,,
Basic,521350447,KyndaKold,Studded material blocks,,,,
Basic,920603136,PastelBlue,Touch to move camera to part ✰,,,,
Basic,880566298,thewildgamer64,Music Checkpoints V3  (Utilizes local scripts)  ✰,,,,
Basic,653831456,Haze,Sliding door,,,,
Basic,165174842,milklover1233,Moving platform,,,,
Basic,975259111,iwilltake2,Click to teleport tool,,,,
Buildings,546517209,2developer0,Observation watchtower ✰,,,,
Buildings,589795526,wyhlster,bright skyscraper,,,,
Buildings,534656359,Biggest_smalls,Burger store,,,,
Buildings,689719936,TheKing2016,Detailed house with porch and windows,,,,
Buildings,911993302,s_pnn,Roblox High School house,,,,
Buildings,417362120,MuhammedTaji,Classic treehouse build ✰,,,,
Buildings,924744800,BlockingExploiter,Classic roblox church ✰,,,,
Buildings,125747368,BlockingExploiter,Lighthouse that lights automatically at midnight,,,,
Buildings,821220743,BlockingExploiter,"""Ruined tower"" building",,,,
Buildings,392073253,bamo999,Happy robloxia home from taco blox,,,,
Buildings,136692410,Hiphopbenny,Two houses from town of robloxia,,,,
Buildings,137300169,OblekfacePC,Elevator shaft,,,,
Buildings,738997369,zegaton,Simple brick building,,,,
Buildings,843735209,ZeOddy,Village cottage,,,,
Buildings,352549235,mem_,MM1 Office,,,,
Buildings,399036702,mem_,Church ✰,,,,
Buildings,468451794,Yxel,Medieval house (decorative),,,,
Buildings,374481472,ZeOddy,Medieval Blacksmith house ✰,,,,
Buildings,223080012,ZeOddy,Tiered medieval house ✰,,,,
Buildings,225983129,oiraMgnilbuM,Hakurei Shrine ✰,,,,
Buildings,761067647,iwilltake2,Colosseum,,,,
Buildings,207608457,djgroovy,Treehouse,,,,
FX,318235341,DeveloperPixels,"Sun effect, lens flare",,,,
FX,836850833,3uc5,Old roblox storm,,,,
FX,802950154,MarioTheDuck123,Disco strobe effect (similar to :disco from Khol's),,,,
FX,494046712,NicePotato,Snow that moves down screen ,,,,
FX,255291588,KyndaKold,Rainbow skybox,,,,
Gears,821745593,BlockingExploiter,Flashlight (turns on/off),,,,
Gears,335519914,BlockingExploiter,Teleporter projectile (similar to ender pearl),,,,
Gears,363810061,BlockingExploiter,Witches' Brew Drink,,,,
Gears,853823229,ExecutiveKrab,Protest sign (comes with a default),,,,
Gears,574920323,ExecutiveKrab,Deranged teddy which comes with 8 sounds,,,,
Gears,218000826,ExecutiveKrab,"Fireworks, R-80, and banana peel gears",,,,
Gears,341572263,CocoDysphoria,Hyperlaser gun gear ✰,,,,
Gears,906288662,CocoDysphoria,"Crescendo, the Soul Stealer gear ✰",,,,
Gears,449864380,CocoDysphoria,"Fly tool - press space twice to activate, or press/hold space while falling to activate *use shiftlock ✰",,,,
Gears,309487824,bamo999,Custom boombox that plays pre set musics,,,,
Gears,916099118,CocoDysphoria,"Winged magical staff - click to attack NPCs within 6 studs of it, double click space to fly",,,,
Gears,777061018,CocoDysphoria,Rainbow magic carpet ✰,,,,
Gears,716846471,CocoDysphoria,Katana of the Golden Snake - lunges send you forward,,,,
Gears,225353131,CocoDysphoria,Grapple hook ✰,,,,
Gears,617243392,micahmajorgamer,"Building tools - resize, delete, grab",,,,
Gears,294677572,CocoDysphoria,Silver Ninja Star of the Brilliant Light ✰,,,,
Gears,791203131,CocoDysphoria,"The General's .45 - Has 6 bullets, reload at 0 bullets by pressing 'r',
Shooting a player's limbs will make them fall off",,,,
Gears,543667759,CocoDysphoria,Fully functioned golden boombox with custom music id entry ✰,,,,
Gears,436908685,mem_,Spoon that flings people,,,,
Gears,925899470,KyndaKold,Reset tool    ✰,,,,
Gears,773477715,KyndaKold,2010 firework gear ✰,,,,
Gears,968723184,AyRay,Line-based paing bucket tool,,,,
Gears,536014752,Haze,BB Gun,,,,
Gears,574154464,youtob23,Epic sauce gear,,,,
Gears,581360981,youtob23,Zombie staff ✰,,,,
Gears,767307238,youtob23,Vine staff ✰,,,,
Gears,654215531,youtob23,Decoy deploy ✰,,,,
Gears,229981015,youtob23,Gravity Gun ✰,,,,
Gears,271684266,youtob23,Plate gun,,,,
Gears,579101998,youtob23,Subspace Explosive,,,,
Gears,558957326,KyndaKold,Gear card ,,,,
Gears,654347701,Panquero11,Rock-Paper-Scissors duel tool,,,,
Gears,688320165,Haze,Freeze Ray Gun ✰,,,,
Gears,589814482,v0id1sm,Red Hoverboard ✰,,,,
Gears,677180412,dat1nubiy,Forcefield potion ✰,,,,
Gears,107895688,"dat1nubiy, youtob23",SlateSkin potion ✰,,,,
Gears,108140028,Haze,US Military Top Secret Experimental Jetpack (Jetpack) ✰,,,,
Gears,226867555,v0id1sm,The General's .45 ✰,,,,
Gears,641410637,v0id1sm,Monster mash dance potion ✰,,,,
Gears,546254653,AimbotSniper1011,Infect tool,,,,
Gears,940685957,v0id1sm,Slateskin potion✰,,,,
Gears,716517606,v0id1sm,Ronin katana,,,,
Gears,987343098,v0id1sm,Iris Katana of Goldengrove Unleaving,,,,
Giver,444997274,MarioTheDuck123,Name-tag giver ✰,,,,
Giver,371877671,TheHoldenGamer,Simple t-shirt giver,,,,
Giver,954623054,TheHoldenGamer,Shirts/Pants giver,,,,
Giver,128212609,WomenBeater546,Package giver,,,,
Giver,594362916,BlockingExploiter,Woking automatic admin giver,,,,
Giver,211793066,bamo999,Body color setter,,,,
Giver,635558834,BlockingExploiter,Badge giver that everyone gets when player 'x' joins the game,,,,
Giver,256461098,thewildgamer64,Customizable gear giver that costs leaderstats,,,,
Giver,273779062,supermario928,Customizable armor giver with presets,,,,
Givers,351357951,outlastlng,Resupply locker which utilizes heal pads,,,,
Givers,242343422,aadenboy,Cape giver,,,,
Givers,485689809,DunlopBR,Head giver,,,,
GUIs,792437736,Astro_NotFound,Run/Walk GUI,,,,
GUIs,866484673,callMeKY,Version history' changelog gui ✰,,,,
GUIs,500336923,BlockingExploiter,Basic sit GUI ✰,,,,
GUIs,784343212,cinthooran,Leaderstat/Currency GUI ✰,,,,
GUIs,169474180,Time_Scientist,Simple closable GUI,,,,
GUIs,427757609,DeveloperPixels,"DevPixel's shop gui, easy setup, customizable features ✰",,,,
GUIs,503509580,thewildgamer64,Script/GUI for water you can drown in ✰,,,,
GUIs,979343747,DeveloperPixels,Functioning hunger bar,,,,
GUIs,741071743,RainbowThunder_YT,Basic Join gui for games,,,,
GUIs,391745437,DeveloperPixels,Death GUI,,,,
GUIs,230248137,TrademarkedRobloxian,Shutdown server GUI,,,,
GUIs,597242995,Stickpuppet,Functional reset button ✰,,,,
GUIs,326906020,Nobonet,Boss health bar GUI ✰,,,,
GUIs,310200614,TheBingoBango,Clear canvas button (compatability with AyRay's line paint bucket),,,,
GUIs,113062915,MarioTheDuck123,UMAD Gui (Death troll),,,,
GUIs,127859944,MarioTheDuck123,"""How To Play"" customizable Tutorial GUI ✰",,,,
Guns,457401350,cinthooran,M1911/Colt,,,,
Kits,687275396,dat1nubiy,"Dat's Gun Kit Reforged (Stable, no aim down sights) ✰",,,,
Kits,391416652,dat1nubiy,"Dat's Gun Kit Reforged (Unstable, includes aim down sights)",,,,
Kits,409268966,youtob23,Tycoon kit (includes tycoon resetting),,,,
Kits,133757690,dat1nubiy,Tycoon kit,,,,
Kits,697053809,aadenboy,aadenboy's cloth kit v1.1 (includes 3 types of 'cloth' - compound parts with many hinges that act like cloth. ✰,,,,
Kits,170023605,ExecutiveKrab,COMPLETE cart ride kit ✰,,,,
Kits,759408656,Hiphopbenny,Angry birds kit,,,,
Kits,157653273,DeveloperPixels,"DevPixel's gun kit with many, many customization options ✰",,,,
Kits,327055716,Zombieboy667,"Zombieboy 667's Advanced guns (v2) includes ammo boxes, custom arms, ammo GUI animations, included starter guns ✰",,,,
Kits,653229549,ExecutiveKrab,"Krab's projectile gun pack - Comes with pistol, shotgun, and lazer minigun. Customizable w/ ability to make new guns ✰",,,,
Kits,333937864,ILikeMSM,Road kit with no grass floor,,,,
Kits,795234862,BOMMR,"Alternative sfoth kit, includes supermario928's jetboots ✰",,,,
Kits,938014332,birdmartinyt,David blocks compatible NPCs and items ✰,,,,
Kits,833182346,ExecutiveKrab,Shop kit with items that save upon death ✰,,,,
Kits,857695107,Haze,Simple Tycoon kit ✰,,,,
Maps,864896802,AyRay,cool place,,,,
Maps,164274436,Zombieboy667,stud-for-stud recreation of the classic roblox Nuke town map ✰,,,,
Maps,343101628,Hiphopbenny,16k+ brick Walmart build ✰,,,,
Maps,517566528,BlockingExploiter,Haunted mansion recreation ✰,,,,
Maps,950880286,bamo999,Los Robloxia bank ✰,,,,
Maps,502491512,bamo999,The Plant' factory build ✰,,,,
Maps,577157650,MrOrangeYoutube,The Undead Coming FULL game ✰,,,,
Maps,771271903,Ronnyzebar1102,Area 51 full map ✰,,,,
Maps,247698240,VineJuicer,custom racetrack circuit ✰,,,,
Maps,419454355,Hiphopbenny,Complete krusty krab build ✰,,,,
Maps,342159800,Explosivesguy2,Nu Survival 303 remade in its entirety ✰,,,,
Maps,179459769,EnderTheDev,Chinese town build ✰,,,,
Maps,419460078,WomenBeater546,Admin house complete with admin givers,,,,
Maps,828603160,birdmartinyt,BADBLOX' full build ✰,,,,
Maps,227097351,BlockingExploiter,Full rocket arena map ✰,,,,
Maps,343533822,DeveloperPixels,DevPixel's natural disaster survival full game open sourced ✰,,,,
Maps,958942475,bamo999,McBloxxer's restauraunt ✰,,,,
Maps,889458742,TixKing2016,Hallowsville full map ✰,,,,
Maps,367288403,BlockingExploiter,Survive the plane crash full game,,,,
Maps,262064218,jellyfishybelly,Judgement hall from Undertale ✰,,,,
Maps,793678132,BlockingExploiter,Classic Roblox hotel ✰,,,,
Maps,467901973,KyndaKold,Big 2009 - 2013 era city map,,,,
Maps,206249587,bamo999,Taco blox full game,,,,
Maps,104508517,KyndaKold,Open ocean map ,,,,
Maps,129376533,mem_,Yorick's resting place (Haunted Mansion) ✰,,,,
Maps,806366033,Adverbt,Functional automatic minigames,,,,
Maps,662581552,EnderManPaz,Prison life map ✰,,,,
Morph,763579463,Door_Yoshikage,"A comprehensive morph kit, comes with customization options and a guide on how to use ✰",,,,
Morph,558496157,Biggest_smalls,Clothing morphs,,,,
Morph,136500170,TheHoldenGamer,Decal Morphs,,,,
Morph,920653781,MilesEdgelord,set of plants morphs from PVZ Day,,,,
Morph,248088199,CocoDysphoria,"""Static morph' (allows your character to remain still when morphed)",,,,
Morph,567962035,ExecutiveKrab,Animated decal morph ✰,,,,
Morph,582316691,KyndaKold,Lego-ify your avatar  ✰,,,,
Morph,608359308,FalseBot,Controllable player marble,,,,
NPC,630671317,MarioTheDuck123,Kool killer NPC,,,,
NPC,701247257,MarioTheDuck123,Clonetrooper1019,,,,
NPC,757702760,WomenBeater546,Catgirl (I am sorry for including this),,,,
NPC,824701374,joshuaMohawknz1,"Meme zombies (LOLHOO, LOLHOW, etc.)",,,,
NPC,732778654,birdmartinyt,Cristiano100 NPC model,,,,
NPC,917404735,christmasf,Collection of r2d zombies,,,,
NPC,541144106,Ficticiusss,NPC with 'mini quest',,,,
NPC,373756996,CrazyCritz,R15 Noob model,,,,
NPC,59680641,tekker01,Ranged rifleman enemy,,,,
NPC,210879088,tekker01,Ranged archer enemy,,,,
NPC,353127088,booeoff,2006 default player npc,,,,
NPC,667768326,lanausse786,"Weeping angel from ""Don't Blink"" ✰",,,,
NPC,297870303,birdmartinyt,Roblox and tyler model,,,,
NPC,643459558,sammydon4,"""This robloxian does not exist"" generator ✰",,,,
NPC,182640341,SKYROPYRO,"""Giant"" NPC",,,,
NPC,185092020,KyndaKold,Lego NPC,,,,
NPC,427526007,lanausse786,Santa,,,,
NPC,983000442,AimbotSniper1011,Collection of zombies,,,,
NPC,581975278,Theclockworkmanguy,Clockwork's zombie pack,,,,
Obby components,104348383,BlockingExploiter,Rainbow spiral disspearing path,,,,
Obby components,652268652,nanofox10,Advanced lava killbrick with complete customization,,,,
Props,944219174,MarioTheDuck123,Pac-man arcade machine,,,,
Props,843244514,s_pnn,Toilet,,,,
Props,258094037,dat1nubiy,Noob ragdoll,,,,
Props,865188573,MarioTheDuck123,Pile of retrobux,,,,
Props,110492365,Biggest_smalls,Simple tree,,,,
Props,422269375,mjdxp,Palm tree,,,,
Props,109793923,s_pnn,Skateboard ramp,,,,
Props,752762544,iwilltake2,Bob-omb model,,,,
